T t
1 1.5365208448971752
1.2 1.6959379261429963
1.4 1.8755824714601033
1.6 2.108735476406039
1.8 3.00440863877521
2 6.484769597248443
2.2 70.34591398535228
2.27 103.08975509567844
2.3 243.43696386006525
2.31 475.66248940586166 
2.33 461.5748827542855
2.4 381.5698201817734
2.6 49.838992014248554
2.8 20.980628640419635
3 11.8051545753194
3.2 8.287438592308447
3.4 9.766258711649167
3.6 5.273366311605713
3.8 4.943563183437998
4 3.9391610493659637
